Risk_Rating,Make,Fuel_Type,Aspiration,Doors,Body,Drive_Wheels,Engine_Loc,Wheel_Base,Length,Width,Height,Curb_Weight,Engine_Type,Num_Of_Cylinders,Engine_Size,Fuel_System,Bore,Stroke,Compression_Ratio,Horsepower,Peak_RPM,City_MPG,Highway_MPG,Price
3,Alfa-Romero,Gas,Std,Two,Convertible,RWD,Front,88.6,168.8,64.1,48.8,2548,DOHC,Four,130,MPFI,3.47,2.68,9.0,111,5000,21,27,13495
3,Alfa-Romero,Gas,Std,Two,Convertible,RWD,Front,88.6,168.8,64.1,48.8,2548,DOHC,Four,130,MPFI,3.47,2.68,9.0,111,5000,21,27,16500
2,Alfa-Romero,Gas,Std,Two,Hatchback,RWD,Front,94.5,171.2,65.5,52.4,2823,OHCV,Six,152,MPFI,2.68,3.47,9.0,154,5000,19,26,16500
3,Audi,Gas,Std,Four,Sedan,FWD,Front,99.8,176.6,66.2,54.3,2337,OHC,Four,109,MPFI,3.19,3.4,10.0,102,5500,24,30,13950
3,Audi,Gas,Std,Four,Sedan,4WD,Front,99.4,176.6,66.4,54.3,2824,OHC,Five,136,MPFI,3.19,3.4,8.0,115,5500,18,22,17450
3,Audi,Gas,Std,Two,Sedan,FWD,Front,99.8,177.3,66.3,53.1,2507,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,15250
2,Audi,Gas,Std,Four,Sedan,FWD,Front,105.8,192.7,71.4,55.7,2844,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,17710
2,Audi,Gas,Std,Four,Wagon,FWD,Front,105.8,192.7,71.4,55.7,2954,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,25,18920
2,Audi,Gas,Turbo,Four,Sedan,FWD,Front,105.8,192.7,71.4,55.9,3086,OHC,Five,131,MPFI,3.13,3.4,8.3,140,5500,17,20,23875
3,Bmw,Gas,Std,Two,Sedan,RWD,Front,101.2,176.8,64.8,54.3,2395,OHC,Four,108,MPFI,3.5,2.8,8.8,101,5800,23,29,17012
2,Bmw,Gas,Std,Four,Sedan,RWD,Front,101.2,176.8,64.8,54.3,2395,OHC,Four,108,MPFI,3.5,2.8,8.8,101,5800,23,29,16925
2,Bmw,Gas,Std,Two,Sedan,RWD,Front,101.2,176.8,64.8,54.3,2710,OHC,Six,164,MPFI,3.31,3.19,9.0,121,4250,21,28,20970
2,Bmw,Gas,Std,Four,Sedan,RWD,Front,101.2,176.8,64.8,54.3,2765,OHC,Six,164,MPFI,3.31,3.19,9.0,121,4250,21,28,21105
2,Bmw,Gas,Std,Four,Sedan,RWD,Front,103.5,189.0,66.9,55.7,3055,OHC,Six,164,MPFI,3.31,3.19,9.0,121,4250,20,25,24565
2,Bmw,Gas,Std,Four,Sedan,RWD,Front,103.5,189.0,66.9,55.7,3230,OHC,Six,209,MPFI,3.62,3.39,8.0,182,5400,16,22,29399
2,Bmw,Gas,Std,Two,Sedan,RWD,Front,103.5,193.8,67.9,53.7,3380,OHC,Six,209,MPFI,3.62,3.39,8.0,182,5400,16,22,40313
2,Bmw,Gas,Std,Four,Sedan,RWD,Front,110.0,197.0,70.9,56.3,3505,OHC,Six,209,MPFI,3.62,3.39,8.0,182,5400,15,20,36880
3,Chevrolet,Gas,Std,Two,Hatchback,FWD,Front,88.4,141.1,60.3,53.2,1488,L,Three,61,2BBL,2.91,3.03,9.5,48,5100,47,53,5151
2,Chevrolet,Gas,Std,Two,Hatchback,FWD,Front,94.5,155.9,63.6,52.0,1874,OHC,Four,90,2BBL,3.03,3.11,9.6,70,5400,38,43,6295
2,Chevrolet,Gas,Std,,Sedan,FWD,Front,94.5,158.8,63.6,52.0,1909,OHC,Four,90,2BBL,3.03,3.11,9.6,70,5400,38,43,6575
2,Dodge,Gas,Std,Two,Hatchback,FWD,Front,93.7,157.3,63.8,50.8,1876,OHC,Four,90,2BBL,2.97,3.23,9.41,68,5500,37,41,5572
2,Dodge,Gas,Std,Two,Hatchback,FWD,Front,93.7,157.3,63.8,50.8,1876,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6377
2,Dodge,Gas,Turbo,Two,Hatchback,FWD,Front,93.7,157.3,63.8,50.8,2128,OHC,Four,98,MPFI,3.03,3.39,7.6,102,5500,24,30,7957
2,Dodge,Gas,Std,Four,Hatchback,FWD,Front,93.7,157.3,63.8,50.6,1967,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,5983
2,Dodge,Gas,Std,Four,Sedan,FWD,Front,93.7,157.3,63.8,50.6,1989,OHC,Four,90,2BBL,2.97,3.23,9.4,68,5500,31,38,6692
2,Dodge,Gas,Std,Four,Sedan,FWD,Front,93.7,157.3,63.8,50.6,1989,OHC,,90,2BBL,2.97,3.23,9.4,68,5500,31,38,7609
2,Dodge,Gas,Turbo,Two,Sedan,,Front,93.7,157.3,63.8,50.6,2191,OHC,Four,98,MPFI,3.03,3.39,7.6,102,5500,24,30,8558
1,Dodge,Gas,Std,Four,Wagon,FWD,Front,103.3,174.6,64.6,59.8,2535,OHC,Four,122,2BBL,3.34,3.46,8.5,88,5000,24,30,8921
3,Dodge,Gas,Turbo,Two,Hatchback,FWD,Front,95.9,173.2,66.3,50.2,2811,OHC,Four,156,MFI,3.6,3.9,7.0,145,5000,19,24,12823
3,Honda,Gas,Std,Two,Hatchback,FWD,Front,86.6,144.6,63.9,50.8,1713,OHC,Four,92,1BBL,2.91,3.41,9.6,58,4800,49,54,6479
3,Honda,Gas,Std,Two,Hatchback,FWD,Front,86.6,144.6,63.9,50.8,1819,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,31,38,6855
2,Honda,Gas,Std,Two,Hatchback,FWD,Front,93.7,150.0,64.0,52.6,1837,OHC,Four,79,,2.91,3.07,10.1,60,5500,38,42,5399
2,Honda,Gas,Std,Two,Hatchback,FWD,Front,93.7,150.0,64.0,52.6,1940,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,30,34,6529
2,Honda,Gas,Std,Two,Hatchback,FWD,Front,93.7,150.0,64.0,52.6,1956,OHC,Four,92,1BBL,2.91,3.41,9.2,76,6000,30,34,7129
